Line,CTC Item ID,Description,CSI,Division,UOM,Quantity,Quantity Basis,Quantity Class,Material Unit 2023,Labor Unit 2023,Equipment Unit 2023,Published Direct Unit 2023,Labor Hours,CTC Labor Rate 2023,Current Labor Rate,Labor Rate Source Task,Mapped Trade,Labor Hours Method,Waste %,Location Factor,Productivity Factor,Labor Esc.,Material Esc.,Equipment Esc.,Material,Labor,Equipment,Subcontractor,Extended,Price Date,Source,Confidence,Notes
85,,Communications complete-system residual,27,Communications,LS,1,"Complete telecom backbone, cabling, pathways and rooms.",Benchmark assumption,,,,,16406.834218046082,77.69,89.34349999999999,01 22 20 00-0010,Electrician,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,1319259.593664,1465843.99296,146584.399296,0,2931687.98592,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
86,,Electronic Safety and Security complete-system residual,28,Electronic Safety and Security,LS,1,"Complete fire alarm, access control, CCTV and security.",Benchmark assumption,,,,,20475.16141917431,77.69,89.34349999999999,01 22 20 00-0010,Electrician,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,1646390.3258286,1829322.5842539999,182932.2584254,0,3658645.1685079997,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
87,,Earthwork complete-system residual,31,Earthwork,LS,1,"Clearing, grading, erosion control and normal soil handling.",Benchmark assumption,,,,,7666.703613193403,58,66.69999999999999,01 22 20 00-0012,"Equipment Operator, Medium (Bulldozer)",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,219158.19899999994,511369.1309999999,730527.3299999998,0,1461054.6599999997,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Low,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
88,,Exterior Improvements complete-system residual,32,Exterior Improvements,LS,1,"Roads, surface parking, curb, walks, landscape, hardscape and lighting.",Benchmark assumption,,,,,1128.6051291021167,58,66.69999999999999,01 22 20 00-0013,"Equipment Operator, Light (Backhoe, Skid-Steer Loader)",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,84687.70737500007,75277.96211111118,28229.235791666688,0,188194.90527777793,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Low,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
89,,Utilities complete-system residual,33,Utilities,LS,1,"Water, sanitary, stormwater and dry-utility site allowance.",Benchmark assumption,,,,,21331.4096747118,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,1976227.1179039998,1976227.1179039998,988113.5589519999,0,4940567.794759999,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Low,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
90,,Existing Conditions complete-system residual,02,Existing Conditions,LS,1,Minor existing-conditions allowance; demolition survey absent.,Benchmark assumption,,,,,817.4305445444237,36.8,42.31999999999999,01 22 20 00-0015,Laborer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,7687.4801433600005,34593.660645120006,34593.660645120006,0,76874.8014336,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Low,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
91,,Concrete complete-system residual,03,Concrete,LS,1,"Complete foundations, podium/garage structure, reinforcing, forming and concrete placement.",Benchmark assumption,,,,,228736.0006082684,48.16,55.38399999999999,01 22 20 00-0008,Cement Mason,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,14251853.989899375,12668314.657688335,4750617.996633125,0,31670786.644220833,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Low,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
92,,Masonry complete-system residual,04,Masonry,LS,1,"Complete CMU, masonry veneer and accessories.",Benchmark assumption,,,,,19709.80510150526,62.13,71.4495,01 22 20 00-0005,Brick Layer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,1182934.8044639998,1408255.7196,225320.915136,0,2816511.4392,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
93,,Metals complete-system residual,05,Metals,LS,1,"Primary/miscellaneous metals, podium/garage steel and railings.",Benchmark assumption,,,,,57200.1044873028,72.32,83.16799999999999,01 22 20 00-0033,Structural Steel Worker,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,5946522.862499999,4757218.289999999,1189304.5724999998,0,11893045.724999998,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
94,,"Wood, Plastics and Composites complete-system residual",06,"Wood, Plastics and Composites",LS,1,"Complete wood framing, sheathing, blocking and casework.",Benchmark assumption,,,,,92853.89543623188,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,5205108.959390941,6196558.284989215,991449.3255982745,0,12393116.56997843,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
95,,Thermal and Moisture Protection complete-system residual,07,Thermal and Moisture Protection,LS,1,"Complete enclosure waterproofing, insulation, roofing and sealants.",Benchmark assumption,,,,,79157.12436634969,61.44,70.65599999999999,01 22 20 00-0027,"Roofer, Composite",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,5592925.779228803,5592925.779228803,1242872.3953841783,0,12428723.953841783,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
96,,Openings complete-system residual,08,Openings,LS,1,"Complete windows, doors, hardware, glazing and storefront.",Benchmark assumption,,,,,85791.62153934603,61.71,70.9665,01 22 20 00-0014,Glazier,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,8371455.276211501,6088331.109972,761041.3887465,0,15220827.77493,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
97,,Finishes complete-system residual,09,Finishes,LS,1,"Complete apartment, corridor, amenity and retail-shell finishes.",Benchmark assumption,,,,,131673.47809594419,56.41,64.8715,01 22 20 00-0009,Drywall Finisher,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,6212258.934037122,8541856.034301043,776532.3667546402,0,15530647.335092803,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
